iter,a,ap,b,bp,S,E_ab,E_abp,E_apb,E_apbp,E_ab_theo,E_abp_theo,E_apb_theo,E_apbp_theo,S_theo
0,89.50120246509847,58.38784477019641,34.38087668254329,5.086826396741429,-0.42032701597919003,-0.4230769230769231,-0.9914529914529915,0.6608695652173913,-0.3333333333333333,-0.3459639762638689,-0.9810525024074984,0.6689498298577561,-0.285722433617463,-0.3723442151961483
1,87.82281091412612,144.96496465542072,6.950252597397146,172.47022583904794,-2.4554440728353772,-0.9538461538461539,-0.9914529914529915,0.06956521739130435,0.5797101449275363,-0.9496724315429571,-0.9825960387038797,0.10503918389794602,0.5734259894442957,-2.400655275793186
2,60.82826084850864,130.9460053172911,25.724244200905535,67.16376489004695,1.0008918617614269,0.3076923076923077,0.9743589743589743,-0.8608695652173913,-0.5797101449275363,0.33860599842181166,0.9756456622011715,-0.8621290339934873,-0.6096538857123053,1.0617765123418013
3,15.026503559559448,10.363009708028471,13.809278608108412,90.11053148273952,2.0765886287625417,1.0,-0.8205128205128205,0.991304347826087,-0.9057971014492754,0.9990974711667933,-0.8674882402956008,0.9927729801262869,-0.9366418905702792,2.0610241015677584
4,5.682950513386933,57.58475780304445,44.24278360077419,82.3337231435427,-0.3903010033444816,0.23846153846153847,-0.8461538461538461,0.8695652173913043,0.6521739130434783,0.22291552632062456,-0.893383506082509,0.8934972314189265,0.6494755110553496,-0.4264462593983076
5,18.668914281850522,125.02196139954921,52.11184761787119,31.963455997322285,1.4337421033073205,0.35384615384615387,0.905982905982906,-0.8260869565217391,-1.0,0.3925639998916313,0.8942395321809065,-0.8272789592842242,-0.9943063510867979,1.4538309238751115
6,9.884966007286666,62.10877343972325,44.66719249705209,132.12045386532336,1.417019695280565,0.3076923076923077,-0.452991452991453,0.808695652173913,-0.7536231884057971,0.34915348170563065,-0.4309682635630091,0.8203199829934201,-0.7663064592258292,1.5048116603618709
7,85.36675315140971,42.18488551451398,83.38581180758426,44.150490602276705,0.20676328502415453,1.0,0.1111111111111111,0.09565217391304348,1.0,0.9976102365724812,0.13169368559804528,0.13222434049449402,0.9976470815097835,0.26388118115523684
8,25.011715267711683,169.83638278024608,46.585937907162574,4.467826070342085,0.18978075065031597,0.6846153846153846,0.7863247863247863,-0.4260869565217391,0.855072463768116,0.7295842874688034,0.7537035980640164,-0.39873482785116077,0.8723860876124561,0.21216697006920304
9,51.62956426980221,24.994183317115613,76.62778213534726,143.42908854121436,-0.16020066889632112,0.5615384615384615,-1.0,-0.24347826086956523,-0.5217391304347826,0.6428352627100606,-0.9980277709938233,-0.22949254561437973,-0.54654328510828,-0.03814176878986242
