pair_id,Bob_basis
0,-22.5
1,-22.5
2,22.5
3,-22.5
4,-22.5
5,-22.5
6,22.5
7,22.5
8,-22.5
9,-22.5
10,22.5
11,22.5
12,22.5
13,22.5
14,-22.5
15,22.5
16,-22.5
17,-22.5
18,-22.5
19,22.5
20,-22.5
21,-22.5
22,-22.5
23,22.5
24,-22.5
25,22.5
26,22.5
27,22.5
28,-22.5
29,-22.5
30,-22.5
31,22.5
32,22.5
33,22.5
34,22.5
35,-22.5
36,22.5
37,22.5
38,22.5
39,22.5
40,22.5
41,22.5
42,-22.5
43,-22.5
44,22.5
45,-22.5
46,-22.5
47,22.5
48,22.5
49,-22.5
50,22.5
51,22.5
52,22.5
53,-22.5
54,22.5
55,-22.5
56,22.5
57,-22.5
58,22.5
59,-22.5
60,22.5
61,-22.5
62,22.5
63,22.5
64,-22.5
65,22.5
66,22.5
67,22.5
68,-22.5
69,-22.5
70,22.5
71,-22.5
72,22.5
73,22.5
74,22.5
75,22.5
76,22.5
77,22.5
78,22.5
79,22.5
80,-22.5
81,-22.5
82,22.5
83,22.5
84,-22.5
85,-22.5
86,22.5
87,22.5
88,-22.5
89,22.5
90,-22.5
91,22.5
92,22.5
93,22.5
94,-22.5
95,22.5
96,22.5
97,22.5
98,-22.5
99,22.5
100,22.5
101,-22.5
102,22.5
103,-22.5
104,22.5
105,22.5
106,-22.5
107,22.5
108,-22.5
109,-22.5
110,22.5
111,-22.5
112,22.5
113,-22.5
114,22.5
115,-22.5
116,22.5
117,-22.5
118,22.5
119,-22.5
120,-22.5
121,-22.5
122,22.5
123,-22.5
124,22.5
125,-22.5
126,22.5
127,-22.5
128,22.5
129,22.5
130,-22.5
131,-22.5
132,22.5
133,22.5
134,22.5
135,-22.5
136,22.5
137,-22.5
138,-22.5
139,-22.5
140,-22.5
141,22.5
142,-22.5
143,22.5
144,-22.5
145,-22.5
146,22.5
147,-22.5
148,-22.5
149,22.5
150,22.5
151,-22.5
152,22.5
153,-22.5
154,22.5
155,22.5
156,-22.5
157,-22.5
158,22.5
159,22.5
160,22.5
161,22.5
162,-22.5
163,22.5
164,-22.5
165,-22.5
166,-22.5
167,22.5
168,-22.5
169,22.5
170,22.5
171,-22.5
172,-22.5
173,-22.5
174,-22.5
175,-22.5
176,-22.5
177,-22.5
178,-22.5
179,-22.5
180,-22.5
181,-22.5
182,-22.5
183,-22.5
184,-22.5
185,22.5
186,-22.5
187,22.5
188,-22.5
189,-22.5
190,-22.5
191,22.5
192,-22.5
193,-22.5
194,22.5
195,22.5
196,-22.5
197,22.5
198,-22.5
199,22.5
200,22.5
201,-22.5
202,22.5
203,22.5
204,-22.5
205,22.5
206,22.5
207,-22.5
208,-22.5
209,-22.5
210,-22.5
211,-22.5
212,22.5
213,-22.5
214,-22.5
215,-22.5
216,-22.5
217,-22.5
218,22.5
219,22.5
220,22.5
221,22.5
222,22.5
223,22.5
224,22.5
225,22.5
226,22.5
227,-22.5
228,22.5
229,-22.5
230,-22.5
231,-22.5
232,22.5
233,22.5
234,22.5
235,22.5
236,-22.5
237,-22.5
238,-22.5
239,-22.5
240,-22.5
241,-22.5
242,22.5
243,22.5
244,-22.5
245,22.5
246,22.5
247,-22.5
248,-22.5
249,22.5
250,-22.5
251,-22.5
252,-22.5
253,22.5
254,-22.5
255,-22.5
256,-22.5
257,-22.5
258,22.5
259,-22.5
260,22.5
261,22.5
262,-22.5
263,22.5
264,-22.5
265,-22.5
266,-22.5
267,-22.5
268,-22.5
269,22.5
270,-22.5
271,-22.5
272,22.5
273,-22.5
274,22.5
275,22.5
276,22.5
277,22.5
278,22.5
279,22.5
280,22.5
281,22.5
282,22.5
283,22.5
284,-22.5
285,22.5
286,-22.5
287,22.5
288,-22.5
289,22.5
290,-22.5
291,-22.5
292,-22.5
293,22.5
294,22.5
295,-22.5
296,22.5
297,-22.5
298,22.5
299,22.5
300,-22.5
301,-22.5
302,22.5
303,-22.5
304,22.5
305,-22.5
306,22.5
307,-22.5
308,22.5
309,22.5
310,-22.5
311,22.5
312,22.5
313,-22.5
314,22.5
315,22.5
316,-22.5
317,22.5
318,22.5
319,-22.5
320,-22.5
321,-22.5
322,22.5
323,22.5
324,-22.5
325,22.5
326,-22.5
327,22.5
328,-22.5
329,22.5
330,22.5
331,22.5
332,22.5
333,22.5
334,-22.5
335,22.5
336,22.5
337,-22.5
338,-22.5
339,22.5
340,22.5
341,22.5
342,-22.5
343,22.5
344,22.5
345,-22.5
346,-22.5
347,22.5
348,22.5
349,-22.5
350,22.5
351,-22.5
352,-22.5
353,22.5
354,-22.5
355,-22.5
356,-22.5
357,-22.5
358,22.5
359,-22.5
360,-22.5
361,22.5
362,-22.5
363,-22.5
364,22.5
365,-22.5
366,22.5
367,22.5
368,22.5
369,-22.5
370,22.5
371,-22.5
372,22.5
373,22.5
374,-22.5
375,22.5
376,-22.5
377,-22.5
378,22.5
379,-22.5
380,22.5
381,-22.5
382,22.5
383,22.5
384,-22.5
385,-22.5
386,-22.5
387,-22.5
388,-22.5
389,-22.5
390,-22.5
391,22.5
392,-22.5
393,22.5
394,-22.5
395,22.5
396,22.5
397,-22.5
398,-22.5
399,22.5
400,-22.5
401,-22.5
402,22.5
403,22.5
404,-22.5
405,-22.5
406,-22.5
407,-22.5
408,-22.5
409,-22.5
410,-22.5
411,22.5
412,22.5
413,-22.5
414,-22.5
415,22.5
416,-22.5
417,22.5
418,22.5
419,22.5
420,22.5
421,-22.5
422,22.5
423,-22.5
424,22.5
425,22.5
426,22.5
427,-22.5
428,-22.5
429,22.5
430,-22.5
431,22.5
432,-22.5
433,-22.5
434,22.5
435,-22.5
436,-22.5
437,-22.5
438,22.5
439,22.5
440,22.5
441,-22.5
442,-22.5
443,22.5
444,-22.5
445,22.5
446,22.5
447,22.5
448,-22.5
449,-22.5
450,-22.5
451,-22.5
452,-22.5
453,22.5
454,22.5
455,22.5
456,-22.5
457,-22.5
458,22.5
459,-22.5
460,-22.5
461,22.5
462,22.5
463,22.5
464,-22.5
465,22.5
466,22.5
467,-22.5
468,22.5
469,22.5
470,-22.5
471,22.5
472,22.5
473,22.5
474,22.5
475,-22.5
476,-22.5
477,-22.5
478,-22.5
479,-22.5
480,22.5
481,22.5
482,-22.5
483,22.5
484,-22.5
485,22.5
486,22.5
487,22.5
488,22.5
489,-22.5
490,-22.5
491,-22.5
492,-22.5
493,22.5
494,-22.5
